"13D_NCI-H1395_3"	"14D_NCI-H1435_3"	"23D_NCI-H1666_3"	"41D_NCI-H2122_3"	"15D_NCI-H1437_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"33D_NCI-H1975_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"02D_A549_3"	"40D_NCI-H2087_3"	"52D_NCI-H460_2"	"25D_NCI-H1703_2"	"04D_Calu1_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"49D_NCI-H292_2"	"08D_HCC4006_3"	"43D_NCI-H2228_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"26D_NCI-H1734_3"	"55D_NCI-H820_3"	"20D_NCI-H1648_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"35D_NCI-H2009_3"	"54D_NCI-H522_3"	"53D_NCI-H520_2"	"39D_NCI-H2085_3"	"19D_NCI-H1623_3"	"57D_PC9_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"12D_NCI-H1373_3"	"09D_HCC827_3"	"59D_SK-LU-1_3"	"30D_NCI-H1793_3"	"29D_NCI-H1792_3"	"56D_NCI-H838_3"	"06D_Calu6_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"05D_Calu3_3"	"24D_NCI-H1693_3"	"37D_NCI-H2030_3"	"48D_NCI-H2405_3"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"16D_NCI-H1563_3"	"18D_NCI-H1573_3"	"50D_NCI-H3122_3"	"38D_NCI-H2073_3"	"34D_NCI-H1993_3"	"46D_NCI-H2342_3"	"21D_NCI-H1650_3"	"42D_NCI-H2126_3"	"17D_NCI-H1568_3"
"ENSG00000101040.19"	0.750844026777101	0.759679601282855	0.813739184692914	0.722412415027891	0.578994754835613	0.309637977787269	0.606302918852768	0.969420816833694	0.267228786813889	0.519453776884506	0.668322768890293	0.557720256495297	0.799109318935826	0.604953711398128	0.831492045956633	0.638057893288628	0.52357507875692	0.359791535720806	0.368867230677658	0.283458978997687	0.196104758001871	0.728066399700745	1.02770190188261	0.474184268685647	0.667106863387725	0.752557491110014	0.107059254448998	0.658129084130716	0.79945310635041	0.900493022210981	0.702871529995028	1.04778324080641	0.765134484997261	1.13391709299794	1.05320959975535	0.804286619272625	0.673172702860193	0.753835838826136	0.837746690218262	1.06075635296782	0.905235250606149	0.875185229829655	1.34807757228176	0.988612595666106	1.00095198636674	0.922378804912804	0.976466880813177	0.719264718071836	0.926890857783509	0.788585881570101	1.2299247348683	1.03291241576134	1.07212094801401	1.00113720801301	0.7483811545628	0.896937286665374	0.823123658123023	0.602088861860246	0.780527905207895	0.44451175658297
"ENSG00000116984.12"	0.918011218775683	0.82890827253644	0.779708810556205	0.647291773138043	0.762277593135906	0.786596369902087	1.04925239844476	0.798707789097228	0.518223481450102	0.731637676347032	0.768957908520092	0.69267232698507	0.537402686547011	0.199620552464335	0.223523067145134	0.684847385143784	0.337795070911279	0.539162683537618	0.797181602652997	0.741264022181415	0.810076116998788	0.863007221199732	0.712089123728831	0.361246644930042	0.82224205015476	0.555929460423089	0.508532001129507	0.573569989187785	0.515532244192812	1.13986661640662	0.971604134831243	1.00430927893086	0.836858567847375	0.811977267036522	0.878423612180671	0.931255388754209	0.640108347435836	0.78161922031787	1.15531263519231	0.777807251925554	1.00569238159284	0.814275471466627	0.612405548583749	0.858846215933536	0.788384455700166	0.922514133326295	0.854753880913258	0.704504828742005	0.795328283532337	0.824586371250464	0.905649122236212	0.871068341860425	1.01132910001994	0.561363737842971	0.592297438398411	0.84746936875443	1.11294733905343	0.758542355534351	0.630938990698436	0.752454965418386
"ENSG00000166439.5"	0.757460210935143	0.77741309914725	0.630189660055957	0.270093758944156	0.499646726993344	0.823571317868692	0.889420352112365	0.434161907287809	0.46495626498267	0.572780641253795	0.913879652089905	0.511522211077064	0.259011695877701	0.335862542705671	0	0.393453590145767	0.321135806985696	0.687814499400562	0.472071352891046	0.625408396497617	0.580833612377407	0.990852654694297	0.611113057290773	0.827747375963802	0.629399295268836	0.57985155796587	0.377734018691282	0.919589652353317	0.451685383191597	0.896616043200713	0.724705851007969	0.965150546104572	0.857998963947348	0.955417136572171	0.830295953564933	0.909026454768266	0.570541049381306	0.569959547096347	0.83128760488606	0.568217801331967	0.724778363258604	0.709434261917974	0.60055242972482	0.541148918410824	0.850048538441693	0.927029311740639	1.19975979759086	0.519522351591803	0.678973514938883	0.74764533549673	0.650952096136676	0.960624667155272	1.12871538364446	0.886522912208356	0.842156812451479	0.963892354434214	0.990014185042466	1.10754200855268	0.707000542424486	0.762067949720333
"ENSG00000198380.12"	1.25231086065914	0.521014865299571	0.458169486871207	0.476807555828831	0.631065689882615	0.930539033497613	1.12729514765092	0.536426560046168	0.513418079622377	0.737870768031944	0.876167579036119	0.583720034779857	0	0.377562998126309	0.619107929519467	0.481457870872161	0.337795070911279	0.963942388382845	0.633815840625593	0.653009008053237	0.868892517438555	0.849329936608439	0.799173155318035	0.791229935460572	0.854065893430502	0.287654349664353	0.57533435088081	0.43790781079488	0.47633935001934	0.455745637987093	0.65720589350495	0.862409272605542	0.976127975850626	0.764402102892878	1.15087078749897	0.986281625603884	0.627883057410326	0.731703800057795	1.05767839395304	0.908737295090318	0.982039212445797	0.68286605101834	0.669274975737604	0.509963899558826	0.776856276421993	1.04786589696931	0.976466880813177	0.597186693604922	0.50874566557799	0.983854202248946	0.650537336265304	0.81827625868104	0.54049158364864	0.694240424876815	0.983855891828348	0.915021393870475	1.02016854865458	1.0915962229485	0.698937020980717	0.544632344584046
"ENSG00000159592.10"	0.964395896099398	0.699162005553598	0.756167858033776	0.43255390787555	0.475896658120516	0.63886293399646	0.655721249757476	0.749681277263118	0.609807994119866	0.58414585442937	0.473823351875432	0.745866469513404	0	0	0.223523067145134	0.471246848127774	0	0.605994780448557	0.363651903041579	0.341959906834776	0.537005219002654	0.604215727372292	0.840306531683624	0.518877910430111	0.88363786509029	0.695000999313728	0.192877243331361	0.474022031948544	0.683212206884328	0.711378643683687	0.65720589350495	0.817268310457456	0.999404502345941	0.70727540466112	0.877038444856423	0.950430266468897	0.847244057494026	0.566481101817006	0.85009603342813	0.631657242980895	0.667223917693099	0.305023522400123	0.653086723023481	0.78271678300402	0.978381745820632	0.966209141541496	0.955065262874571	0.111512220044831	1.01192743417339	0.744567437804085	0.921444477056236	0.943008597354865	0.879087628409329	0.996723476165865	1.10803144990709	0.906909664502778	1.11224819820586	0.842204653310416	0.939825033458046	0.924067346667816
"ENSG00000198740.8"	1.01069157303004	0.413031437892704	0.341458843723952	0.756111578900152	0.991349118641422	0.914555143799307	0.615510187110344	0.830010786703868	0.366571942603409	0.596447325040922	0.979666129481247	0.23778138968036	0	0.199620552464335	0.344252181979663	0.788621253969803	0.438225748492757	0.632820502083005	0.363651903041579	0.283458978997687	0.38104271344297	0.771687420186622	0.634272781319125	0.555635143465951	0.575537623878744	0.238990523902946	0.32362196064652	0.652196800110128	0.679956557849845	1.03940547227535	0.799040263967752	0.734840681035231	0.8868224036186	0.902111189962068	0.632416851202112	0.959639420719896	0.846637514326927	0.75742911761738	0.868835266151375	0.683149638411288	0.886478595758528	0.530062801713543	0.299849198180275	1.10367855999902	0.705427846416328	0.888893154025866	0.867539263604114	0.471919007508341	0.407015441524272	0.789839807348022	0.66903876222207	1.09134562863325	0.281730590290386	1.03834509758087	0.938659400608244	1.01753414613341	0.912996913721725	0.907243577374861	0.695414408908041	0.894238611898776
"ENSG00000113810.15"	0.787256571276953	0.360089369475654	0.105984852412356	0.763093089156657	0.953476434236334	0.916459960423618	0.631273746742613	0.836897750156995	0.46495626498267	0.626383483830259	0.816285691926946	0.763323820997233	0.547448003087755	0.536966295491743	0.550900222152915	0.914466278679704	0.337795070911279	0.199621289356015	0.21882586027361	0.368706595030545	0.625231870229486	0.567165955988451	0.662044322127273	0.958841936511673	0.728992581642362	0.58278997605489	0.633217936414973	0.443946088607779	0.477107011027133	0.686026802986148	1.08439628583804	0.997297181305826	0.80407185174234	0.451897688145638	1.11815142795987	0.805952379940105	0.940162236498308	0.746318554342552	0.648383839913316	0.663923414615647	0.771870277410284	0.564140786790388	0.993430562079734	0.897955707670651	0.93143440885224	0.944634749106402	0.741239231094971	0.61114964700124	0.760408256300353	0.955823711787382	0.20250930167039	0.618249803062288	0.949631003762197	1.04568362854168	0.945842602460835	0.888504672776024	1.07032240090724	0.81199622536748	0.666634151996779	0.877580706606905
"ENSG00000120727.12"	0.725585117639974	0.188008523571675	0.588851372832555	0.475533073573266	0.813541901855646	0.586963443008264	0.692430257703637	0.820545382420043	0.419038551308403	0.514167760729321	0.592016078648228	0.74923794007237	0.547448003087755	0.377562998126309	0.479908208582741	0.654477794967576	0.427448338393915	0.198550875226045	0	0.722983239347662	0.767363787926269	0.825625610913736	0.743203087922647	0.850040632477827	0.354948216394498	0.438318191361075	0.192877243331361	0.708492191690684	0.404682271629969	0.394256432240492	0.946787128210554	0.803292194364057	0.582503818721445	0.876904045352803	0.853692953857787	0.792773357567746	0.748098881672137	1.01387650605959	0.963209953789411	0.506407708301011	0.80161160653224	0.353300810448336	0.759771149205388	0.827762507429784	0.807154147252989	0.696536576330468	1.07604773827251	0.861564377201353	0.764461936881343	1.01634394420377	0.753263008893417	1.14512646440976	1.12569193472173	1.22767855108081	0.759328147866756	0.684327677285911	1.06381614940237	0.856622461075339	0.680550167402454	0.481057604255251
"ENSG00000171490.12"	1.15654953992145	0.755448984869152	0.727370988902029	0.551585860922595	0.757771693052484	0.821211006074689	0.734144347191315	0.691069746192726	0.676037558641778	0.701735874527929	1.04402273187429	0	0.787838839728629	0.861646342122042	0.344252181979663	0.472558717906643	0.344450948718047	0.67637898078327	0.565404408039152	0.575429481613073	0.956052610428001	0.707615144221704	0.512213767340071	0.244393581548114	0.611533378477188	0.17751015139853	0.606469988078757	0.329413652332912	0.546803589378155	1.0457780304961	1.26672850957242	0.647567479131554	0.974331962272855	0.833884814654003	1.01712883597105	1.02871123918526	0.610885691841305	0.686396491172658	0.401763934773494	0.240459084091256	1.02329958815934	0.342373448145947	0.894981029213135	0.825474029146561	1.01918281457779	0.865913414878525	1.11217264657195	0.85168591731598	0.691694986184161	0.644652196932567	0.760742963655133	0.910446844168975	0.977417853564559	1.06469153818167	0.607800754176369	1.05516975842709	1.18907963358229	0.829687634721547	0.588721042334869	0.78256480784752
"ENSG00000140694.16"	0.545877595965231	0.907699800534431	0.287664391932031	0.632953831869917	0.903174044544282	1.04147150067017	0.652467663902716	0.709584529830396	0.571432810916253	0.830897915530322	1.01795542454259	0.390562740419321	0.793510638666558	0.377562998126309	0	0.218354465252215	0.334855639619269	0.334298358528195	0.916350386875305	0.322752091514275	1.01451822564471	0.76875083299601	0.102735611073086	0.457924635698451	0.40259884919307	0.466162584188484	0.425844701992401	0.269285538394573	0.629992354852815	0.46527597680904	0.834586783288063	0.99558439752266	0.858991918829761	0.991397819789558	0.739024506023631	0.671559116110972	0.647657261042273	0.605073924847057	0.50266672561735	0.472776019090222	0.803650455183532	0.693785180765459	0.726720495299183	0.895011328054755	1.06199168185366	1.07974694794384	0.914985449943965	0.602712669942592	0.887782652060561	0.939375995146138	0.620904719717073	1.12206787818431	1.13457969677931	0.898491580862243	0.595638427111154	0.980380456631012	0.913977913070256	1.15374282214857	0.733976386794883	0.784557769911233
