"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"54D_NCI-H522_3"	"01D_A427_3"	"06D_Calu6_3"	"53D_NCI-H520_2"	"45D_NCI-H23_3"	"11D_NCI-H1299_3"	"25D_NCI-H1703_2"	"16D_NCI-H1563_3"	"59D_SK-LU-1_3"	"37D_NCI-H2030_3"	"30D_NCI-H1793_3"	"43D_NCI-H2228_3"	"56D_NCI-H838_3"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"29D_NCI-H1792_3"	"04D_Calu1_2"	"12D_NCI-H1373_3"	"35D_NCI-H2009_3"	"05D_Calu3_3"	"48D_NCI-H2405_3"	"21D_NCI-H1650_3"	"08D_HCC4006_3"	"33D_NCI-H1975_3"	"44D_NCI-H2291_3"	"40D_NCI-H2087_3"	"09D_HCC827_3"	"20D_NCI-H1648_3"	"55D_NCI-H820_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"14D_NCI-H1435_3"	"26D_NCI-H1734_3"	"23D_NCI-H1666_3"	"18D_NCI-H1573_3"	"50D_NCI-H3122_3"	"17D_NCI-H1568_3"	"24D_NCI-H1693_3"	"39D_NCI-H2085_3"	"42D_NCI-H2126_3"	"46D_NCI-H2342_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"49D_NCI-H292_2"	"57D_PC9_3"	"52D_NCI-H460_2"	"02D_A549_3"	"22D_NCI-H1651_3"	"13D_NCI-H1395_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"19D_NCI-H1623_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"
"ENSG00000205426.10"	0.0152709670167827	0.0714860336709779	0.0449946740484315	0.667838115300658	0.140860687186741	0.944621441258421	0.384119705745371	0.94374468658523	0.591308142940694	0.0750218180016185	2.08385361558258	1.92943451698478	0.780000905303344	0.998513714280326	0.364271641404308	1.4233240071807	1.77019296175995	0.850644683141714	0.792234623924369	1.45707796144109	0.999478961138569	0.845847151961156	0.134331447450957	0.748516828150297	0.108065484888729	0.324970496436483	0.457290081295109	0.32198621307877	0.875765820152883	1.00186651553835	1.17834570443555	1.09369139696491	0.979134875548545	2.09290219054842	1.12583426701458	0.436798914522055	0.944075032147875	0.695317152987022	0.666177470031908	3.10664946853609	0.505266013356341	0.735363054937884	0.907980059644119	2.35062352219246	2.12341148547111	2.07806840498416	0.766068756562205	0.497301661040052	1.44177195684704	2.99622150252652	1.75626300729721	1.13124185226488	3.04190558556674	2.26782728732148	1.21614523468949	3.29988480532515	2.40863547347929	1.16733842128733	0.206353544722038	2.79277634440885
"ENSG00000284121.1"	3.39720693493137	3.41929810956813	3.4603644804137	1.94863833421567	1.53470866540077	2.07159480871368	0.472056761275685	1.51201926144096	0.908007278959094	1.35769081256548	2.7038753027829	2.12618883657125	1.70371218582472	1.88112895912944	2.28362117011025	3.01250487300105	2.45881365170795	2.39037995713626	2.26963730144656	3.05634516266163	2.42003895670732	1.86549175886567	1.4201390361964	1.76623913366636	2.85931384752286	2.54481434654904	2.12231688921698	1.78637353124308	1.0719210092947	2.05331714760109	0.965209672791238	2.60763396677081	1.53929331653227	0.76857156212754	0.859484336093322	1.78143031470912	1.92678483811894	1.87838607153186	0.969532265758399	1.01878511733476	1.60277595499623	1.24097526711522	2.71092966644916	3.16438350044031	2.63634927144799	1.92922159903978	2.62760361894123	1.19714358316585	1.48118947599353	2.38798971255808	1.82649276695141	2.15873649604808	1.9681147581577	2.57480487686086	0.608016756615197	1.32634686476531	1.20984961355791	1.28403011613606	1.7905349760938	2.02836098542623
"ENSG00000026025.15"	2.790101375459	3.19215640668827	3.16223536716117	2.04825112059125	3.25859892039021	3.10372956524847	1.95461533571509	2.87886765410397	2.93647322213651	2.78359220240557	2.49559761801198	0.818360101556479	2.91518254716314	2.32917424592476	2.84744644316239	2.59097113440663	2.48826699002429	2.99965715899721	2.95396908163968	2.99981125865357	2.78561684158187	2.19381029078431	2.21993320135715	3.00852611063948	1.46309279852517	2.14312819592522	3.04279972700168	2.86291441291943	1.58633223560803	1.7397588856157	0.704745347911144	2.41611652471423	1.18257133414664	2.45831347060266	1.42703500368713	1.27710137245502	1.35426457032178	1.00036134392998	2.17551239449872	0.459070497617676	0.757366439689988	1.14908557056068	1.11519440778524	1.72277911616734	2.24692074999538	1.27118149986321	0.634570747759137	0.989975586122899	2.58902512387228	0.878278765138195	1.21347996281894	2.65943340289147	2.45701506166604	2.70445346649367	1.17623810348161	1.10425449758835	1.05550878488727	0.0752405137404392	1.75392257624055	2.28304259542889
"ENSG00000154277.12"	1.94678387404732	2.48469041146239	2.46215159852802	2.42642980423574	2.27075818706213	0.808745598778205	2.2686583626148	2.13618570123272	2.01542611466726	2.4734535732282	0.614877603615015	0.419350548021908	2.18226707191575	2.68271643485576	2.2123856291054	2.59724696421063	2.61703298987228	2.546975212515	2.57262742572308	2.51416536785326	0.808667918564883	1.66979121861891	0.996787853665706	0.957382716120833	0.790671190763096	0.872459179562189	0.855872073818354	1.7897962596656	1.18681555557586	0.742076315990307	2.24926522982134	0.165454740101213	0.989259032944025	2.31404731984745	0.745163146664897	0.546084621800836	0.783589368754425	0.935388095768634	1.33754546997894	0.787549646431599	0.505809299195352	0.99755029962658	0.976691641733216	1.94801452976057	2.14058792147891	1.89926896317871	1.17720485635652	2.03580342443777	2.34787931089366	1.92410003695093	2.5406093512504	2.68953047974846	2.39670146631715	2.20887935580502	1.50274580066376	2.29004929964743	2.55996616116475	2.27758190582781	0.701754160476226	2.56630765896575
"ENSG00000278588.1"	2.45550825198482	2.38832169710436	2.21915714641318	1.01837940029245	1.12562106300097	2.75264034002453	2.88004288340956	2.804388697683	2.75505792931792	2.35396418899938	1.53738644441073	1.74240486134486	0.867593453221285	0.830889543565145	2.4471594785657	1.92026475142078	1.11574628757281	2.64346904736983	0.755155275024266	2.43917819716307	1.02557692121298	0.734679947242478	2.52046789493846	2.14603241716264	2.53039769521033	2.40222280420862	2.37731756421884	2.15319559263007	0.836985149477176	2.68801121052219	2.4697101098597	2.54902456932289	1.49803018006006	2.35641853479755	1.00051476349875	2.03574751149937	0.884283740539618	1.81184568078645	1.81335324216719	2.38797849172023	0.731040157179821	0.902682860288552	2.80205061929762	2.36199657725705	2.09366976698861	1.75296364954092	2.43637599412573	2.59858421600616	2.29274399107591	2.73296044177807	2.82512874674745	1.78610855654305	2.65828456310954	2.52468266034649	1.96342071750501	1.79022215792568	0.916099478347378	1.89509551991363	2.21375891368554	2.32369708479907
"ENSG00000277775.1"	2.87284532686913	2.40494517501582	2.21672691108951	1.07269157626482	1.03436734020457	2.76890343546196	2.89012150269027	2.86102892700925	3.01115957744469	2.86134713521535	1.31816736567234	1.82337956513696	0.751593106290346	0	0.708913300518428	1.00934633672772	1.82340799610055	2.61376806520434	0.872839577176677	1.23657206452545	1.10520596011274	0.0149074041900808	2.5672226354849	2.19285902250216	2.60914436295953	2.52417037483387	2.46903170070173	2.68696071424631	1.49694843512486	2.6337079576334	2.23505555695323	2.60333698460384	2.55898264705724	2.4420290669661	0.941051094775039	0.707030512738902	0.773677669665657	0.418880287317292	0.624034665226463	0.694401069494042	0.787003614561264	0.897668922861802	2.80333648490675	2.5858477766023	2.8382414563474	1.17363145870383	2.91285165801473	2.45002337199191	2.40215117931925	2.82083440726388	0.968992149949343	2.91780574294305	2.31222566990209	2.06575088873104	1.69661504644648	1.72764528809211	1.02919556851647	2.30144618988038	2.18265050632923	0.940299611838161
"ENSG00000197409.7"	2.56682269095356	2.36813550510411	2.20157020998599	0.834270684335321	1.4674402847584	2.72342546092094	2.83066312708262	2.53871750133823	2.59091085230309	2.79012967471525	1.1224188129118	2.06063492256635	0.586286818938484	0.342538998034682	0.54715882789111	0.879422913372625	2.60344362091121	2.42648911287367	2.15170676386804	0.820139901520474	2.64604964481807	0.953192465947437	2.40460218816174	1.92645292462635	2.42783560979259	2.28061109246992	2.27240554157073	2.13825073254824	1.57271714262521	2.35807356438521	2.02590033753661	2.38873601502594	1.09533860735017	2.21345138114214	1.95541530765847	0.718521329926507	2.22466148344913	0.892403479838097	1.47792419010484	0.458794405900641	2.39067573113384	0.820336367512503	2.41156271026178	2.17883876643651	1.06643641377107	1.03431304410426	2.41329105992355	2.1336068368358	2.12926293692605	2.55750359405084	2.35290392026025	1.16012579037681	0.850806720285027	2.49901568047458	1.61481359840958	1.4224215147832	0.703941930388933	0.866073273956342	2.31581208807444	2.44638288576819
"ENSG00000196866.2"	2.5735623104115	2.31654067562984	2.11705441396074	1.08092427054457	2.47409453806477	2.69135110077322	2.85678198452295	2.56648412454917	2.69410701084218	2.63727809130891	1.52508026076658	2.08122278189981	0.677608622463783	0.875111496643567	0.662320048854441	0.879804248306866	2.83771258230571	2.54566738052156	2.24425806185435	0.964032653970085	2.79459239076083	2.68790420943664	2.48303295439487	2.1498261386348	2.33163312989911	2.33818128291275	2.29322623735626	2.29762964414934	1.5628581907336	2.47193035190487	2.13276979284577	2.52165234761613	2.2187437053517	2.28272897967691	2.1398063724906	0.879933331204831	2.30394863752058	1.91220551317007	0.584131662973347	0.723575467561062	2.61349940285615	0.846389524149029	2.48315802058325	2.45059567619971	2.63478291814702	1.11170748858688	2.84728901809297	2.25972968742479	2.1785664065528	2.66014499847158	2.80876055259218	2.73936957744934	0.914064971392062	2.49927764736652	1.54287738304641	1.62870575034241	0.896357921107946	1.77455001187772	2.00319698064465	2.58742974370565
"ENSG00000167644.11"	1.85099728207807	0.0778518728988811	0.0972901792116656	1.22400317121132	1.84453223128813	1.99412202901548	0.622654878325702	1.31138296631816	2.0549584983816	0.605427141392278	2.36034660744294	1.40501615206277	2.02694779721824	1.83798312801857	2.31339846129725	2.07899983767578	1.44820836929064	1.5527203768759	2.02261621295313	1.98458622389864	2.20453554005948	2.44051277523464	2.2216255374475	2.38372465478612	2.39504137736396	2.06684329079106	2.08916875111528	2.61134388019158	2.13202190082803	2.35011030890809	2.15112199545984	2.56490842922855	2.07747158198377	2.44641593305519	2.33390259322337	2.29398147285686	2.1262526528265	2.69241365967294	1.94768503075456	2.51565960695877	1.9979795092228	1.82468005993671	2.20434564529772	2.49436641876907	2.03961271648669	2.46691918318706	2.31568805473392	2.42697798318954	2.73617411895911	2.19875097341417	1.82261319543995	1.45604935901947	2.3918567117608	1.96565793758433	1.93740475132303	1.8400556179297	1.92430544969155	2.30952107027226	2.13680014958205	2.11989309760993
"ENSG00000283876.1"	1.92513678707266	0.780622147020513	1.08068746128539	0.9417925596921	0.924849645712626	1.02581709413716	0.7350655526865	1.01016678270498	1.72891911975153	0.986875078030724	1.46641857405782	2.3419171694735	1.74034912758396	2.05158302706402	2.55095909444957	2.13693514102406	1.53269795807317	1.31305456031455	1.21789525791665	1.8561928574835	2.36298596764871	2.46409135399252	2.70750054434115	2.03992578138289	1.89598847906967	2.23325369563394	2.32490900377732	2.90222482694515	1.90725884280725	2.30849360793972	2.4813492617038	1.87528422881387	3.05238974702058	2.89946944718769	2.64025349408499	2.76501327649196	1.8556603780517	2.39687200457991	1.59228029447878	2.23877555598472	2.14085466364036	1.54668124311551	2.08778823922424	1.91272523891446	2.59689177870349	2.22210864935394	2.38560872438025	1.7437686412885	2.21745315128753	2.44528339045985	2.09909222061427	1.20083935348566	1.31438240662102	1.55239451689662	1.26661643144412	2.02676678190327	2.59417784968788	2.40504470627969	2.17010147900477	1.93021920473107
